PROPERTY_ID,LOCATION,TOTAL_AREA,PRICE,PREDICTED_PRICE
13983,"Keshav Puram, Tri Nagar,New Delhi",1800,32500000,32415000.0
13984,"Mig Flats,Shastri Nagar, New Delhi",1800,60000000,59910000.0
13985,"Qutub Vihar I, Qutub Vihar,New Delhi",900,6000000,5995000.0
13986,"Dharampura, Najafgarh,New Delhi",2700,12500000,12528000.0
13987,"Rani Garden, Geeta Colony,New Delhi",1188,6500000,6505000.0
13988,"Onkar Nagar, Tri Nagar,New Delhi",3600,32500000,32721000.0
13989,"Harsh Vihar Near Sunday Marker,Harsh Vihar, Mandoli,New Delhi",200,1600000,1657000.0
13990,"Rbi Colony, Paschim Vihar,New Delhi",1196,22500000,22854000.0
13991,"Sector 16B Dwarka, New Delhi",225,2900000,2953000.0
13992,"Lg Apartment,Ghitorni, New Delhi",450,1500000,1500000.0
13993,"Tuglakabad Extension,Tughlakabad Extension, Tughlakabad,New Delhi",1000,2500000,2492000.0
13994,"Budh Vihar Phase Ii, Budh Vihar,New Delhi",503,7500000,7494000.0
13995,"Dr. Ambedkar Nagar, Madangir,New Delhi",228,900000,936700.0
13996,"Part 1, Rajinder Nagar,New Delhi",900,16500000,16515000.0
13997,"Phase 2, Sunlight Colony,New Delhi",385,7700000,7722000.0
13998,"Masjid Moth Village, New Delhi",435,2500000,2500500.0
13999,"Block C, Surajmal Vihar,New Delhi",3700,100000000,89345000.0
14000,"B4 Block, Safdarjung Enclave,New Delhi",1010,16000000,16012000.0
14001,"Sector 25 Rohini, New Delhi",520,3100000,3113000.0
14002,"Sector 3B, Sector 3 Rohini,New Delhi",1050,10000000,10033620.0
14003,"Nehru Vihar, Mukherjee Nagar,New Delhi",225,1800000,1788500.0
14004,"Block C, Sector 17 Rohini,New Delhi",150,6500000,6935000.0
14005,"Mayur Vihar Phase 3, New Delhi",1000,6000000,6000000.0
14006,"Pul Prahlad Pur, New Delhi",650,2750000,2773000.0
14007,"Sector 12 Dwarka, New Delhi",4500,65000000,65025000.0
14008,"Shyam Vihar I, Najafgarh,New Delhi",800,7000000,7011500.0
14009,"Nirman Vihar, Preet Vihar,New Delhi",2800,72500000,73105000.0
14010,"Nirman Vihar, Preet Vihar,New Delhi",2800,75000000,73990000.0
14011,"Ashok Nagar Extension, New Ashok Nagar,New Delhi",1020,9500000,9462000.0
14012,"Ramesh Park, Laxmi Nagar,New Delhi",311,6000000,5910500.0
14013,"Bankner Village, Narela,New Delhi",900,4000000,4001000.0
14014,"Mayur Vihar Phase 1, New Delhi",1200,7500000,7500000.0
14015,"Sector 5C, Sector 5 Rohini,New Delhi",400,7500000,7471000.0
14016,"Dharampura, Najafgarh,New Delhi",990,6000000,5983550.0
14017,"Sector 9 Rohini, New Delhi",1100,16000000,16147000.0
14018,"Mangalpuri I, Palam,New Delhi",2232,11000000,11009000.0
14019,"Sonia Vihar Extension, Sonia Vihar,New Delhi",900,2700000,2698080.0
14020,"Mangalpuri I, Palam,New Delhi",2232,6000000,6089000.0
14021,"Vivek Vihar, New Delhi",945,5000000,5056800.0
14022,"Mayur Vihar Phase 1 Extension, Mayur Vihar Phase 1,New Delhi",2450,22000000,21773000.0
14023,"Balbir Nagar Extension, Shahdara,New Delhi",1200,9800000,9810000.0
14024,"Malka Ganj, New Delhi",600,4000000,4000000.0
14025,"Chand Nagar, Vishnu Garden,New Delhi",270,1300000,1280750.0
14026,"Krishna Nagar, New Delhi",900,12500000,12359000.0
14027,"Gharoli Dairy Farm, Mayur Vihar Phase 3,New Delhi",699,6500000,6505000.0
14028,"Sector 34 Rohini, New Delhi",297,1450000,1449040.0
14029,"Prem Nagar, Najafgarh,New Delhi",2120,18000000,17903000.0
14030,"Anand Parbat, New Delhi",2500,10000000,9999000.0
14031,"Block E, Krishna Nagar,New Delhi",900,5800000,5800890.0
14032,"Mangalpuri I, Palam,New Delhi",1000,12500000,12531000.0
14033,"Block 5, Subhash Nagar,New Delhi",410,2650000,2646500.0
14034,"Moti Nagar, New Delhi",720,5000000,5039900.0
14035,"Not Available,Prem Nagar Ii, Kirari Suleman Nagar,New Delhi",550,2500000,2500000.0
14036,"Block E, Jhilmil Colony,New Delhi",750,3200000,3198000.0
14037,"Dallupura, New Delhi",1200,10500000,10530000.0
14038,"Sector 34 Rohini, New Delhi",366,2200000,2199000.0
14039,"Shadipur,Ranjeet Nagar, New Delhi",713,3300000,3298550.0
14040,"Twin Gate Association,Model Town, New Delhi",1575,2500000,2389100.0
14041,"Yadav Nagar, Samay Pur,New Delhi",558,6000000,5991300.0
14042,"Mehrauli, New Delhi",800,3000000,3001000.0
14043,"Rithala, New Delhi",516,8000000,7979000.0
14044,"Ashok Nagar Extension, New Ashok Nagar,New Delhi",1650,28000000,28204000.0
14045,"Rithala, New Delhi",516,800000,815400.0
14046,"Sector 22 Rohini, New Delhi",990,33000000,33056000.0
14047,"Sector 8B, Sector 8 Rohini,New Delhi",1800,15000000,14956000.0
14048,"Couner Flats,Sector 16E, Sector 16 Rohini,New Delhi",270,2700000,2660500.0
14049,"Saroop Nagar, Bhalswa,New Delhi",225,550000,550420.0
14050,"Sector 3B, Sector 3 Rohini,New Delhi",350,6250000,6270540.0
14051,"Jia Sarai, Hauz Khas,New Delhi",3150,110000000,103812000.0
14052,"Block E, Krishna Nagar,New Delhi",2000,17000000,16965000.0
14053,"Janta Colony, Tagore Garden Extension,New Delhi",700,7000000,7000000.0
14054,"Sector 18 Rohini, New Delhi",1100,15000000,14952000.0
14055,"Sector 39 Rohini, New Delhi",450,3500000,3498000.0
14056,"Kalkaji, New Delhi",450,3000000,2993880.0
